non-original,original
50.0,50.0
0.0,100.0
5.88235294117647,94.11764705882352
3.225806451612903,96.7741935483871
15.151515151515152,84.84848484848484
16.666666666666664,83.33333333333334
7.894736842105263,92.10526315789474
10.0,90.0
27.380952380952383,72.61904761904762
28.971962616822427,71.02803738317756
28.205128205128204,71.7948717948718
21.428571428571427,78.57142857142857
39.130434782608695,60.86956521739131
5.128205128205128,94.87179487179486
37.878787878787875,62.121212121212125
24.59016393442623,75.40983606557377
17.094017094017094,82.90598290598291
37.5,62.5
21.25,78.75
33.33333333333333,66.66666666666666
27.083333333333332,72.91666666666666
26.984126984126984,73.01587301587301
24.65753424657534,75.34246575342466
13.253012048192772,86.74698795180723
29.629629629629626,70.37037037037037
20.967741935483872,79.03225806451613
23.404255319148938,76.59574468085107
35.8974358974359,64.1025641025641
30.76923076923077,69.23076923076923
24.324324324324326,75.67567567567568
11.428571428571429,88.57142857142857
